,id,created_phase,cleaned_feature
393,75,1,"abl, alert, key, wallet, time"
394,75,1,"notifi, smoke, detector, batteri, start, beep, due, low, power"
395,75,1,"notifi, pet, get, outsid"
396,79,1,"light, control"
397,79,1,"water, suppli, palnt"
398,82,1,"buzzer, let, know, peopl, lawn"
399,82,1,"latch, window, lock, kid, window, night"
400,82,1,"abl, preheat, oven, use, smartphon"
401,82,1,"buzzer, go, dog, bowl, empti"
402,82,1,"buzzer, go, sink, full, dish"
403,82,1,"buzzer, alert, trash, full"
404,82,1,"stove, shut, food, done, cook"
405,82,1,"light, turn, sens, room, empti"
406,82,1,"want, tv, record, favorit, show, sens"
407,82,1,"treadmil, alert, havent, use, long"
408,84,1,"detect, someon, glucos, level, drop, becom, high"
409,84,1,"notifi, detect, possibl, carbon, dioxid"
410,84,1,"cut, electr, equipmentappli, one, particular, room"
411,84,1,"phone, come, app, ring, doorbel, see, phone, tablet, comput, picturevideo, anywher"
412,84,1,"refil, pet, water, food, bowl, autom"
413,84,1,"prevent, children, access, oven, danger, applianc, adult"
414,84,1,"react, voic, play, whatev, song, request"
415,84,1,"phone, make, movi, tv, show, recommend, base, previou, choic"
416,84,1,"let, know, door, window, unlock"
417,85,1,"monitor, babi, wake, sleep"
418,85,1,"check, whether, close, tap"
419,85,1,"check, whether, light, day, time"
420,85,1,"ac, room, temperatur, rais, , degre, celciu"
421,85,1,"water, plant, soil, get, dri"
422,85,1,"know, unusu, move, like, cat, dogsoth, human"
423,85,1,"alert, someth, usual, happen, like, firesmok"
424,85,1,"alert, need, servic, fridg, wash, machin"
425,85,1,"monitor, babi, time"
426,85,1,"find, whether, unnecessari, thing, floor, like, needl, hock"
427,87,1,"light, come, room"
428,87,1,"light, go, leav, room"
429,87,1,"ceil, fan, shut, bird, room"
430,87,1,"tv, shut, fall, asleep"
431,87,1,"microwav, oven, chime, broadcast, everi, room"
432,87,1,"mailbox, signal, someth"
433,87,1,"door, camera, show, imag, smartphon, tv, outsid"
434,87,1,"pet, food, come, kept, hungri"
435,87,1,"water, turn, brush, teeth"
436,87,1,"light, come, suppos, wake, morn"
437,87,1,"vacuum, come, spill, someth"
438,88,1,"shutter, close, open, base, weather"
439,88,1,"music, play, kitchen"
440,88,1,"temperatur, monitor, kid, room"
441,88,1,"ceil, fan, turn, temperatur, begin, rise"
442,88,1,"door, lock, act, camera, speaker"
443,88,1,"door, open, dog"
444,88,1,"secur, camera, record, hour, import, footag, without, cloud, servic"
445,88,1,remot
446,88,1,"garag, door, autom"
447,88,1,fridg
448,91,1,"the, front, back, door, lock, child, , year, old, tri, open, without, enter, select, code"
